id,name,since,sensors
407,"Zoo Park, Hyderabad - TSPCB",2016-03-22,18
2459,US Diplomatic Post: Hyderabad,2016-01-30,1
2594,"Sanathnagar, Hyderabad - TSPCB",2016-03-22,4
5599,"Bollaram Industrial Area, Hyderabad - TSPCB",2018-03-09,18
5623,"Central University, Hyderabad - TSPCB",2018-03-09,18
5624,"IDA Pashamylaram, Hyderabad - TSPCB",2018-03-09,18
5645,"ICRISAT Patancheru, Hyderabad - TSPCB",2018-03-11,18
5647,"Sanathnagar, Hyderabad - TSPCB",2018-03-09,16
8557,Hyderabad,2016-11-10,1
10897,"ICRISAT Patancheru, Hyderabad - TSPCB",2020-04-28,6
344103,"ECIL Kapra, Hyderabad - TSPCB",2022-05-26,18
344104,"Kompally Municipal Office, Hyderabad - TSPCB",2022-05-26,18
344140,"Somajiguda, Hyderabad - TSPCB",2022-05-26,18
344142,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",2022-05-26,18
346257,"Ramachandrapuram, Hyderabad - TSPCB",2022-06-02,18
346258,"Kokapet, Hyderabad - TSPCB",2022-06-02,17
352465,"New Malakpet, Hyderabad - TSPCB",2022-06-16,18
4720578,Hyderabad,2025-06-13,5
